mal_id,title,type,source,score,scored_by,rank,popularity,members,favorites,studios,rilis;,episodes,status,source_category,source_category_number,log_score,tahun
5114,Fullmetal Alchemist: Brotherhood,TV,Manga,9.09,2097619.0,2.0,3.0,3307272.0,224029.0,['Bones'],2009-04-05,64.0,Finished Airing,Manga,1,2.3115448343655176,2009.0
9253,Steins;Gate,TV,Visual novel,9.07,1385362.0,3.0,13.0,2536220.0,188134.0,['White Fox'],2011-04-06,24.0,Finished Airing,Novel,2,2.309560706730471,2011.0
28977,Gintama°,TV,Manga,9.06,248415.0,4.0,338.0,623423.0,16524.0,['Bandai Namco Pictures'],2015-04-08,51.0,Finished Airing,Manga,1,2.3085671646715933,2015.0
38524,Shingeki no Kyojin Season 3 Part 2,TV,Manga,9.05,1563653.0,5.0,21.0,2241037.0,58076.0,['Wit Studio'],2019-04-29,10.0,Finished Airing,Manga,1,2.307572634505085,2019.0
11061,Hunter x Hunter (2011),TV,Manga,9.04,1736934.0,7.0,10.0,2791963.0,208129.0,['Madhouse'],2011-10-02,148.0,Finished Airing,Manga,1,2.306577114263583,2011.0
9969,Gintama',TV,Manga,9.03,235147.0,9.0,394.0,549940.0,8088.0,['Sunrise'],2011-04-04,51.0,Finished Airing,Manga,1,2.305580601973844,2011.0
41467,Bleach: Sennen Kessen-hen,TV,Manga,9.03,268304.0,8.0,418.0,522760.0,20146.0,['Pierrot'],2022-10-11,13.0,Finished Airing,Manga,1,2.305580601973844,2022.0
15417,Gintama': Enchousen,TV,Manga,9.02,163829.0,11.0,735.0,322077.0,3054.0,['Sunrise'],2012-10-04,13.0,Finished Airing,Manga,1,2.3045830956567186,2012.0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,Manga,9.02,508200.0,12.0,183.0,905414.0,30819.0,['A-1 Pictures'],2022-04-09,13.0,Finished Airing,Manga,1,2.3045830956567186,2022.0
34096,Gintama.,TV,Manga,8.98,144475.0,14.0,757.0,311241.0,2716.0,['Bandai Namco Pictures'],2017-01-09,12.0,Finished Airing,Manga,1,2.300583090323373,2017.0
42938,Fruits Basket: The Final,TV,Manga,8.98,231241.0,13.0,476.0,467679.0,19815.0,['TMS Entertainment'],2021-04-06,13.0,Finished Airing,Manga,1,2.300583090323373,2021.0
